15/12/05 11:29
プロジェクトの翻訳状況

            	 分節数	  単語数	文字数（空白を除く）	文字数（空白を含む）	ファイル数	
合計：         	5128	43939	    237931	    276938	  153	
未翻訳：        	1736	20223	    105317	    123348	   33	
繰り返しを除いた：   	4237	41655	    225669	    263236	  150	
繰り返しを除いた未翻訳：	1614	19762	    102470	    119975	   33	


ファイルごとの翻訳状況：

ファイル名                                                                                 	すべての分節数	未翻訳分節数	繰り返しを除いた分節数	繰り返しを除いた未翻訳分節数	すべての単語数	未翻訳単語数	繰り返しを除いた単語数	繰り返しを除いた未翻訳単語数	すべての文字数（空白を除く）	未翻訳文字数（空白を除く）	繰り返しを除いた文字数（空白を除く）	繰り返しを除いた未翻訳文字数（空白を除く）	すべての文字数（空白を含む）	未翻訳文字数（空白を含む）	繰り返しを除いた文字数（空白を含む）	繰り返しを除いた未翻訳文字数（空白を含む）	
crystal-jp-gh-pages/_posts/2013-09-04-happy-birthday-crystal.md                       	    186	   170	        166	           166	   1731	  1704	       1693	          1693	          8779	         8662	              8612	                 8612	         10441	        10311	             10254	                10254	
crystal-jp-gh-pages/_posts/2013-09-15-to-proc.md                                      	     38	    37	         36	            36	    510	   508	        507	           507	          2708	         2697	              2689	                 2689	          3156	         3144	              3136	                 3136	
crystal-jp-gh-pages/_posts/2013-09-23-type-inference-part-1.md                        	     43	    43	         43	            43	    532	   532	        532	           532	          2803	         2803	              2803	                 2803	          3268	         3268	              3268	                 3268	
crystal-jp-gh-pages/_posts/2013-11-14-good-bye-ruby-thursday.md                       	     78	    78	         76	            76	   1023	  1023	       1017	          1017	          4828	         4828	              4794	                 4794	          5783	         5783	              5747	                 5747	
crystal-jp-gh-pages/_posts/2013-12-05-garbage-collector.md                            	      9	     9	          9	             9	    208	   208	        208	           208	          1190	         1190	              1190	                 1190	          1368	         1368	              1368	                 1368	
crystal-jp-gh-pages/_posts/2014-04-27-type-inference-rules.md                         	    241	   218	        200	           200	   2463	  2421	       2330	          2330	         12493	        12320	             11768	                11768	         14850	        14661	             14005	                14005	
crystal-jp-gh-pages/_posts/2014-06-19-crystal-0.1.0-released.md                       	    216	   192	        177	           177	   2047	  2003	       1952	          1952	         10889	        10716	             10400	                10400	         12617	        12434	             12081	                12081	
crystal-jp-gh-pages/_posts/2014-12-04-crystal-0.5.4-released.md                       	     19	    17	         18	            17	    214	   172	        212	           172	          1401	         1122	              1390	                 1122	          1558	         1250	              1546	                 1250	
crystal-jp-gh-pages/_posts/2014-12-06-another-language.md                             	     91	    89	         85	            85	   1167	  1165	       1155	          1155	          5659	         5653	              5588	                 5588	          6663	         6657	              6584	                 6584	
crystal-jp-gh-pages/_posts/2014-12-31-crystal-0.5.6-release.md                        	     30	    30	         28	            28	    559	   559	        551	           551	          3112	         3112	              3063	                 3063	          3542	         3542	              3487	                 3487	
crystal-jp-gh-pages/_posts/2015-02-07-crystal-0.5.9-released.md                       	     23	    23	         23	            23	    402	   402	        402	           402	          2334	         2334	              2334	                 2334	          2652	         2652	              2652	                 2652	
